,链接,图片,书名,评分,热评,价格,出版日期,出版社,作者
26,https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失,9.2,一部简明的“中国政治制度史”, 12.00元, 2001 , 生活·读书·新知三联书店 ,钱穆 
27,https://book.douban.com/subject/1858513/,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,月亮和六便士,9.0,有多少人会经历顿悟，就有更少的人甘愿自我放逐, 15.00元, 2006-8 , 上海译文出版社 ,[英] 毛姆 / 傅惟慈 
28,https://book.douban.com/subject/1449351/,https://img2.doubanio.com/view/subject/s/public/s4696893.jpg,呐喊,9.0,新文学的第一声呐喊, 0.36元, 1973年3月 , 人民文学出版社 ,鲁迅 
29,https://book.douban.com/subject/1829226/,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,肖申克的救赎,9.1,豆瓣电影Top1原著, 29.90元, 2006-7 , 人民文学出版社 ,[美] 斯蒂芬·金 / 施寄青 
30,https://book.douban.com/subject/1085860/,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg,基督山伯爵,9.0,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景, 43.90元, 1991-12-1 , 上海译文出版社 ,大仲马 / 周克希 
31,https://book.douban.com/subject/1827374/,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg,东方快车谋杀案,9.0,谋杀诡计惊人，波洛的抉择耐人寻味, 18.00元, 2006-5 , 人民文学出版社 ,[英] 阿加莎·克里斯蒂 / 陈尧光 
32,https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,万历十五年,8.9,见微知著，历史观的颠覆, 18.00元, 1997-5 , 生活·读书·新知三联书店 ,[美] 黄仁宇 
33,https://book.douban.com/subject/1770782/,https://img3.doubanio.com/view/subject/s/public/s1727290.jpg,追风筝的人,8.9,为你，千千万万遍, 29.00元, 2006-5 , 上海人民出版社 ,[美] 卡勒德·胡赛尼 / 李继宏 
34,https://book.douban.com/subject/26986954/,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,"新名字的故事

                
                   : 那不勒斯四部曲2",9.0,探索青年时代的激情、困惑、挣扎、背叛和失去, 59.00元, 2017-4 , 人民文学出版社 ,[意] 埃莱娜·费兰特 / 陈英 
35,https://book.douban.com/subject/30172069/,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,"失踪的孩子

                
                   : 那不勒斯四部曲4",9.1,我的整个生命，只是一场为了提升社会地位的低俗斗争。, 62.00元, 2018-7 , 人民文学出版社 ,[意] 埃莱娜·费兰特 / 陈英 
36,https://book.douban.com/subject/7060185/,https://img2.doubanio.com/view/subject/s/public/s7019913.jpg,江城,9.1,外国人眼中的涪陵, 36.00元, 2012-1 , 上海译文出版社 ,[美] 彼得·海斯勒 / 李雪顺 
37,https://book.douban.com/subject/1795079/,https://img9.doubanio.com/view/subject/s/public/s1665415.jpg,乡土中国,9.2,中国乡土社会传统文化和社会结构理论研究代表作, 38.00, 2006-4 , 上海人民出版社 ,费孝通 
38,https://book.douban.com/subject/2035162/,https://img2.doubanio.com/view/subject/s/public/s2347562.jpg,刀锋,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的, 18.00元, 2007-3 , 上海译文出版社 ,[英]毛姆 / 周煦良 
39,https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,嫌疑人X的献身,8.9,数学好是一种极致的浪漫, 28.00, 2008-9 , 南海出版公司 ,[日] 东野圭吾 / 刘子倩 
40,https://book.douban.com/subject/5414391/,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg,"寻路中国

                
                   : 从乡村到工厂的自驾之旅",9.0,《纽约客》驻北京记者驾车漫游中国大陆的经历, 33.00元, 2011-1 , 上海译文出版社 ,[美] 彼得·海斯勒 / 李雪顺 
41,https://book.douban.com/subject/1254588/,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,"城南旧事

                
                   : 纪念普及版",9.0,长亭外，古道边，芳草碧连天, 16.00元, 2003-7 , 中国青年出版社 ,林海音 文 
42,https://book.douban.com/subject/1044547/,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,射雕英雄传（全四册）,9.0,侠之大者，为国为民, 47.00元, 1999-04 , 生活·读书·新知三联书店 ,金庸 
43,https://book.douban.com/subject/1209899/,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,"我与地坛

                
                   : 史铁生代表作",9.1,这是你的罪孽与福祉, 25.00元, 2002-5 , 春风文艺出版社 ,史铁生 
44,https://book.douban.com/subject/10564071/,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,"白鹿原

                
                   : 20周年精装典藏版",9.2,一轴关于我们民族灵魂的现实主义画卷, 39.00元, 2012-9 , 人民文学出版社 ,陈忠实 
45,https://book.douban.com/subject/1043008/,https://img3.doubanio.com/view/subject/s/public/s1134341.jpg,格林童话全集,9.0,一本有教育意义的书, 21.45元, 1994-11 , 人民文学出版社 ,[德国]格林兄弟 / 魏以新 
46,https://book.douban.com/subject/1089243/,https://img2.doubanio.com/view/subject/s/public/s1076372.jpg,"黄金时代

                
                   : 时代三部曲",8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云, 19.00元, 1999-3 , 花城出版社 ,王小波 
47,https://book.douban.com/subject/1083428/,https://img2.doubanio.com/view/subject/s/public/s4250062.jpg,傲慢与偏见,8.9,所有现代言情小说的母体, 13.00元, 1993-7 , 人民文学出版社 ,[英] 奥斯丁 / 张玲 
48,https://book.douban.com/subject/3006581/,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg,无人生还,8.9,童谣杀人案, 19.00, 2008-3 , 人民文学出版社 ,[英] 阿加莎・克里斯蒂 / 祁阿红 
49,https://book.douban.com/subject/1027191/,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,"历史深处的忧虑

                
                   : 近距离看美国之一",9.0,窥见美国社会的一扇窗, 19.00元, 1997-5 , 生活·读书·新知三联书店 ,林达 
50,https://book.douban.com/subject/1915958/,https://img1.doubanio.com/view/subject/s/public/s2364689.jpg,野草,9.4,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。, 0.20元, 1973-3 , 人民文学出版社 ,鲁迅 
51,https://book.douban.com/subject/3162991/,https://img2.doubanio.com/view/subject/s/public/s3219163.jpg,艺术的故事,9.6,从最早的洞窟绘画到当今的实验艺术, 280.00, 2008-04 , 广西美术出版社 ,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 
